# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
Kinokoteikoku|国道スロープ|Love Girls cause I'm a Girl||https://open.spotify.com/track/7upG8kgnfF4yfaOGNKHXJg
Reol|B12|Love Girls cause I'm a Girl||https://open.spotify.com/track/4I7Ifw9MXGipCFQntyn7td
H△G|Colorful|Love Girls cause I'm a Girl||https://open.spotify.com/track/5jKaY1yceqsskkblLzopGF
物語シリーズ|もうそう☆えくすぷれす|Love Girls cause I'm a Girl||https://open.spotify.com/track/0AMPzoNXlZxOQfcnajreKx
Moe Shop|GHOST FOOD (feat. TORIENA)|Love Girls cause I'm a Girl||https://open.spotify.com/track/3vVrmzJ90RADY5oydu2yWZ
PSYQUI|ヒステリックナイトガール|Love Girls cause I'm a Girl||https://open.spotify.com/track/1poGez6IaTb1gtJxkXdlb8
SHISHAMO|明日も|Love Girls cause I'm a Girl||https://open.spotify.com/track/2GICOigS4ByugDisRegs3M
Nayutalien|Alien Alien|Love Girls cause I'm a Girl||https://open.spotify.com/track/3va7Q99A1EJk8eAZ2DV74v
SHISHAMO|君と夏フェス|Love Girls cause I'm a Girl||https://open.spotify.com/track/74zARC4MuJSrlq0QaaE13j
POLKADOT STINGRAY|FREE|Love Girls cause I'm a Girl||https://open.spotify.com/track/0ezNygbCe5v2dN6F9Vo87v
majiko|命に嫌われている。|Love Girls cause I'm a Girl||https://open.spotify.com/track/2lXu7SNGIKHJ8EV2EetYFa
UPLIFT SPICE|オメガリズム|Love Girls cause I'm a Girl||https://open.spotify.com/track/6QnL8A6cIDFHXEdqEaHfrm
Perfume|コミュニケーション|Love Girls cause I'm a Girl||https://open.spotify.com/track/3QwkPWlV0Y75z2LHcTBOH2
fhána|Somewhen, Some Worlds with You|Love Girls cause I'm a Girl||https://open.spotify.com/track/0eAGD0LHLBLeHkkJscEmuy
Reol|コノヨLoading...|Love Girls cause I'm a Girl||https://open.spotify.com/track/5ZBs9dRavxKAS23WT1MwkQ
YUI|again|Love Girls cause I'm a Girl||https://open.spotify.com/track/6jBNUlTbv3fyn5t4izsdMa
CHiCO with HoneyWorks|世界は恋に落ちている|Love Girls cause I'm a Girl||https://open.spotify.com/track/2gjS4IldZTcJOntzMW6oh8
TUYU|Trapped in the past|Love Girls cause I'm a Girl||https://open.spotify.com/track/5cGTr7yx9wo6NkgQV4eqdW
TUYU|Being low as dirt, taking what's important from me|Love Girls cause I'm a Girl||https://open.spotify.com/track/1LNGuCg01CHg9ErApmz92R
ZUTOMAYO|正義|Love Girls cause I'm a Girl||https://open.spotify.com/track/00mMDaEYdOu7naMhemWrcJ
the peggies|LOVE TRIP (2019)|Love Girls cause I'm a Girl||https://open.spotify.com/track/4q5DMM337duBBjtcQrz6fV
SILENT SIREN|フジヤマディスコ|Love Girls cause I'm a Girl||https://open.spotify.com/track/5VBjgiTYtgcSwLa2osNX3P
Daoko|ダイスキ with TeddyLoid|Love Girls cause I'm a Girl||https://open.spotify.com/track/4koA8IVYaHiBuCh8iKhSM9
ZUTOMAYO|勘冴えて悔しいわ|Love Girls cause I'm a Girl||https://open.spotify.com/track/7zbfS30vKiHU8oBs6Wi1Qp
the peggies|スタンドバイミー|Love Girls cause I'm a Girl||https://open.spotify.com/track/053ydqZPlzfOkFsRmY8SNL
Daoko|さみしいかみさま|Love Girls cause I'm a Girl||https://open.spotify.com/track/1jsuNY2norISRscbYj5ISS
